model,dataset,baseline,relation_id,relation_name,mapping_type,side,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
RotatE,FB15k237,without,208,/business/business_operation/assets./measurement_unit/dated_money_value/currency,M-1,head,0,0,0,,,
RotatE,FB15k237,without,209,/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,M-1,head,3,3,1,0.19047619615282332,1.0,1.0
RotatE,FB15k237,without,210,/time/event/instance_of_recurring_event,M-1,head,11,11,9,0.8181818127632141,0.0,0.0
RotatE,FB15k237,without,211,/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,1-N,head,7,7,6,0.8571428656578064,0.0,0.0
RotatE,FB15k237,without,212,/film/actor/film./film/performance/special_performance_type,M-1,head,16,16,1,0.0625,0.0,0.0
RotatE,FB15k237,without,213,/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,M-1,head,0,0,0,,,
RotatE,FB15k237,without,214,/people/ethnicity/languages_spoken,M-N,head,29,29,23,0.6305418695722308,0.47826087474823,0.2608695652173913
RotatE,FB15k237,without,215,/base/americancomedy/celebrity_impressionist/celebrities_impersonated,1-N,head,8,8,5,0.625,0.0,0.0
RotatE,FB15k237,without,216,/medicine/symptom/symptom_of,M-N,head,31,31,29,0.9354838728904724,0.0,0.0
RotatE,FB15k237,without,217,/education/university/fraternities_and_sororities,M-1,head,21,21,11,0.2789115756750107,0.7272727489471436,0.45454545454545453
RotatE,FB15k237,without,218,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,M-N,head,13,13,6,0.14285714605024882,1.0,0.6666666666666666
RotatE,FB15k237,without,219,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,M-1,head,4,4,0,0.0,,
RotatE,FB15k237,without,220,/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,M-N,head,20,20,20,1.0,0.0,0.0
RotatE,FB15k237,without,221,/location/country/official_language,M-1,head,16,16,2,0.09821428571428571,0.5,0.5
RotatE,FB15k237,without,222,/location/location/partially_contains,M-1,head,13,13,10,0.7472527623176575,0.20000000298023224,0.2
RotatE,FB15k237,without,223,/film/film/film_art_direction_by,M-1,head,3,3,3,0.9523809552192688,0.3333333432674408,0.3333333333333333
RotatE,FB15k237,without,224,/people/person/spouse_s./people/marriage/location_of_ceremony,M-1,head,35,35,5,0.06938775602195944,0.800000011920929,0.6
RotatE,FB15k237,without,225,/education/university/international_tuition./measurement_unit/dated_money_value/currency,M-1,head,0,0,0,,,
RotatE,FB15k237,without,226,/organization/organization_founder/organizations_founded,1-1,head,9,9,5,0.3333333411387035,0.800000011920929,0.4
RotatE,FB15k237,without,227,/film/film/dubbing_performances./film/dubbing_performance/actor,M-N,head,8,8,8,0.8928571428571429,0.25,0.25
RotatE,FB15k237,without,228,/dataworld/gardening_hint/split_to,1-1,head,10,10,7,0.699999988079071,0.0,0.0
RotatE,FB15k237,without,229,/medicine/disease/risk_factors,M-N,head,13,13,8,0.49450550760541645,0.375,0.375
RotatE,FB15k237,without,230,/film/film/prequel,1-1,head,18,18,16,0.7539682388305664,0.25,0.25
