threshold,mapping_type,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
10,M-1,directional_inverse_strength,"(0.5,1.0]",3,0.649210591718024,18.333333333333332,0.6169897928124382,0.49489795735904146,0.23840579390525818,0.20000000298023224,0.14782608695652175,0.2
10,M-1,mutual_inverse_strength,zero,28,0.0,89.07142857142857,0.6070063596173209,0.5509821474552155,0.2039932551394616,0.18951048702001572,0.11757517804960017,0.10896960711638251
10,M-1,mutual_inverse_strength,"(0,0.1]",27,0.020946481693022156,59.48148148148148,0.47171128513636407,0.48364231841904776,0.388148401622419,0.3333333432674408,0.23308808806225254,0.21428571428571427
10,M-1,mutual_inverse_strength,"(0.1,0.3]",5,0.15499306317526687,38.6,0.504598638841084,0.4285714328289032,0.3680382490158081,0.43103447556495667,0.2261773658625233,0.25862068965517243
10,M-1,mutual_inverse_strength,"(0.3,0.5]",3,0.39956835345442815,42.0,0.39797008463314604,0.4732142857142857,0.5566162268320719,0.4579439163208008,0.32226672600504375,0.24299065420560748
10,M-1,inverse_clarity,zero,28,0.0,89.07142857142857,0.6070063596173209,0.5509821474552155,0.2039932551394616,0.18951048702001572,0.11757517804960017,0.10896960711638251
10,M-1,inverse_clarity,"(0,0.1]",30,0.01853560248966218,56.666666666666664,0.4818938978371165,0.48586877754756386,0.3819115142027537,0.3273809552192688,0.2290063323961239,0.212406015037594
10,M-1,inverse_clarity,"(0.1,0.3]",3,0.16866344157812319,41.666666666666664,0.3370573903833117,0.37380952494485037,0.5415858129660288,0.4318181872367859,0.35929491963974725,0.29545454545454547
10,M-1,inverse_clarity,"(0.3,0.5]",2,0.3975300073807466,50.0,0.4925595202616283,0.4925595202616283,0.4539719521999359,0.4539719521999359,0.22149532710280373,0.22149532710280373
10,M-N,directional_inverse_strength,zero,39,0.0,84.43589743589743,0.7070841281077801,0.6973975556237357,0.30784320656974345,0.26923078298568726,0.17283183153192547,0.16666666666666666
10,M-N,directional_inverse_strength,"(0,0.1]",20,0.022697460451358606,294.2,0.5047523913638933,0.5475800079958779,0.4336775525620109,0.4000000059604645,0.21346323485157215,0.1865671641791045
10,M-N,directional_inverse_strength,"(0.1,0.3]",11,0.1993061171439394,262.72727272727275,0.4131016748679148,0.4267040193080902,0.4733327044682069,0.43005672097206116,0.28032059877636467,0.24324324324324326
10,M-N,directional_inverse_strength,"(0.3,0.5]",13,0.3851914845509403,146.23076923076923,0.5746491662748567,0.45812807764325825,0.3564886966576943,0.44983819127082825,0.17874684409690664,0.2
10,M-N,directional_inverse_strength,"(0.5,1.0]",7,0.7176044272600842,63.42857142857143,0.5062827480082609,0.5,0.24255229106971196,0.23636363446712494,0.1329006395202779,0.12727272727272726
10,M-N,mutual_inverse_strength,zero,39,0.0,84.43589743589743,0.7070841281077801,0.6973975556237357,0.30784320656974345,0.26923078298568726,0.17283183153192547,0.16666666666666666
10,M-N,mutual_inverse_strength,"(0,0.1]",21,0.021450587937311912,266.76190476190476,0.4860859738320721,0.5443500110081264,0.47103454101653325,0.44029849767684937,0.2571041764555293,0.20432692307692307
10,M-N,mutual_inverse_strength,"(0.1,0.3]",11,0.2352978002726755,224.9090909090909,0.4219989929493371,0.45800866399492535,0.41088842004537585,0.3704061210155487,0.2015454521206232,0.19375
