threshold,mapping_type,inverse_metric,bucket,n,inverse_metric_mean,test_support_mean,hits_r_mean,hits_r_median,alpha_r_mean,alpha_r_median,delta_r_mean,delta_r_median
5,M-N,directional_inverse_strength,"(0.5,1.0]",8,0.7138618791019176,56.5,0.5471898216222013,0.5,0.15748511999845505,0.1696428582072258,0.09818922446412959,0.11607142857142858
5,M-N,mutual_inverse_strength,zero,41,0.0,80.7560975609756,0.7192149691880787,0.7170542478561401,0.20444557042338135,0.1639784872531891,0.11561972627415787,0.10098522167487685
5,M-N,mutual_inverse_strength,"(0,0.1]",22,0.0204850230250149,255.0,0.5103360026494248,0.5605960658618383,0.3618185137483207,0.26500000059604645,0.19356189716858035,0.1325262452293687
5,M-N,mutual_inverse_strength,"(0.1,0.3]",11,0.2352978002726755,224.9090909090909,0.4450131063530971,0.4827586156981332,0.34507708657871594,0.2866241931915283,0.228770644695721,0.14012738853503184
5,M-N,mutual_inverse_strength,"(0.3,0.5]",11,0.3828933683363605,234.0909090909091,0.5761512459872605,0.48179140261241366,0.27732268653132697,0.26708075404167175,0.14532149657263532,0.13793103448275862
5,M-N,mutual_inverse_strength,"(0.5,1.0]",9,0.5495217444037898,52.888888888888886,0.6267988047902546,0.614982579435621,0.12376291222042507,0.12711864709854126,0.08553461606052998,0.06497175141242938
5,M-N,inverse_clarity,zero,41,0.0,80.7560975609756,0.7192149691880787,0.7170542478561401,0.20444557042338135,0.1639784872531891,0.11561972627415787,0.10098522167487685
5,M-N,inverse_clarity,"(0,0.1]",28,0.017668131485098403,219.89285714285714,0.5122879605968388,0.5605960658618383,0.35426771454513073,0.26500000059604645,0.20807243415470547,0.1325262452293687
5,M-N,inverse_clarity,"(0.1,0.3]",11,0.23447756009464724,188.72727272727272,0.5279688468420661,0.4884792608874185,0.2838302512060512,0.28125,0.15773296877388826,0.18181818181818182
5,M-N,inverse_clarity,"(0.3,0.5]",11,0.4120097573096952,260.6363636363636,0.5408789968335784,0.48179140261241366,0.2616947496479208,0.24871531128883362,0.14382691121463032,0.11801242236024845
5,M-N,inverse_clarity,"(0.5,1.0]",3,0.5918865929658516,11.666666666666666,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
10,1-1,directional_inverse_strength,"(0,0.1]",2,0.021714090134207425,50.5,0.4868458014513765,0.4868458014513765,0.499694736674428,0.499694736674428,0.2387057387057387,0.2387057387057387
10,1-1,directional_inverse_strength,"(0.1,0.3]",2,0.1255050505050505,14.0,0.7408730132239205,0.7408730132239205,0.125,0.125,0.09375,0.09375
10,1-1,directional_inverse_strength,"(0.3,0.5]",1,0.4014084507042254,11.0,0.24675325410706656,0.24675325410706656,0.6666666865348816,0.6666666865348816,0.3333333333333333,0.3333333333333333
10,1-1,directional_inverse_strength,"(0.5,1.0]",2,0.8026790746117464,13.0,1.0,1.0,0.0,0.0,0.0,0.0
10,1-1,mutual_inverse_strength,"(0,0.1]",4,0.033668580973184134,32.25,0.6138594073376485,0.7408730132239205,0.312347368337214,0.15247252769768238,0.16622786935286935,0.11023351648351648
10,1-1,mutual_inverse_strength,"(0.1,0.3]",1,0.15159574468085107,11.0,0.24675325410706656,0.24675325410706656,0.6666666865348816,0.6666666865348816,0.3333333333333333,0.3333333333333333
10,1-1,mutual_inverse_strength,"(0.5,1.0]",2,0.8026440037771482,13.0,1.0,1.0,0.0,0.0,0.0,0.0
10,1-1,inverse_clarity,"(0,0.1]",5,0.01762851141419346,28.0,0.5404381766915322,0.699999988079071,0.3832112319767475,0.25,0.19964896214896216,0.1875
10,1-1,inverse_clarity,"(0.5,1.0]",2,0.7740212189670216,13.0,1.0,1.0,0.0,0.0,0.0,0.0
10,1-N,directional_inverse_strength,zero,11,0.0,54.09090909090909,0.5576068530609081,0.5336927175521851,0.16564186797900635,0.1463414579629898,0.10192568703151705,0.07142857142857142
10,1-N,directional_inverse_strength,"(0,0.1]",5,0.02230812808610686,90.6,0.3366913493190493,0.3298319322722299,0.4451516538858414,0.5,0.27478675739913183,0.3
10,1-N,directional_inverse_strength,"(0.1,0.3]",4,0.15664857973109125,26.75,0.5364985998187747,0.5192904898098537,0.20212538912892342,0.19175077229738235,0.13138529325727658,0.13226744186046513
10,1-N,directional_inverse_strength,"(0.3,0.5]",2,0.3483788923788814,55.0,0.3155416079929897,0.3155416079929897,0.3410256505012512,0.3410256505012512,0.18205128205128207,0.18205128205128207
10,1-N,mutual_inverse_strength,zero,11,0.0,54.09090909090909,0.5576068530609081,0.5336927175521851,0.16564186797900635,0.1463414579629898,0.10192568703151705,0.07142857142857142
10,1-N,mutual_inverse_strength,"(0,0.1]",8,0.020430659117046543,64.25,0.4130758039121117,0.3309873938560486,0.3604145534336567,0.3221311569213867,0.225641917172907,0.16025641025641024
