relation_id,relation_name,side,mapping_type,train_frequency,log_train_frequency,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
166,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,head,M-1,476,6.1675164908883415,5,5,0,0.0,,
167,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,head,M-1,125,4.836281906951478,22,22,18,0.7987012948308673,0.1666666716337204,0.1111111111111111
168,/user/ktrueman/default_domain/international_organization/member_states,head,1-N,179,5.19295685089021,24,24,24,1.0,0.0,0.0
169,/american_football/football_team/current_roster./sports/sports_team_roster/position,head,M-N,573,6.352629396319567,0,0,0,,,
170,/soccer/football_player/current_team./sports/sports_team_roster/team,head,M-N,536,6.285998094508865,9,9,6,0.2539682611823082,0.8333333134651184,0.6666666666666666
171,/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,head,M-N,101,4.624972813284271,16,16,16,1.0,0.0,0.0
172,/award/ranked_item/appears_in_ranked_lists./award/ranking/list,head,M-1,335,5.817111159963204,48,48,30,0.375,0.7666666507720947,0.36666666666666664
173,/film/film_set_designer/film_sets_designed,head,1-N,113,4.736198448394496,8,8,7,0.6428571428571429,0.5714285969734192,0.2857142857142857
174,/user/jg/default_domain/olympic_games/sports,head,M-N,581,6.366470447731438,11,11,11,0.9610389726502555,0.09090909361839294,0.09090909090909091
175,/people/person/sibling_s./people/sibling_relationship/sibling,head,1-1,131,4.882801922586371,7,7,3,0.2857142963579723,0.6666666865348816,0.3333333333333333
176,/base/marchmadness/ncaa_basketball_tournament/seeds./base/marchmadness/ncaa_tournament_seed/team,head,M-N,352,5.8664680569332965,41,41,40,0.8850174120494297,0.20000000298023224,0.15
177,/music/artist/contribution./music/recording_contribution/performance_role,head,M-N,218,5.389071729816501,14,14,5,0.173469392316682,0.800000011920929,0.6
178,/sports/sports_position/players./sports/sports_team_roster/position,head,M-N,125,4.836281906951478,0,0,0,,,
179,/government/politician/government_positions_held./government/government_position_held/basic_title,head,M-N,114,4.74493212836325,16,16,10,0.41964285714285715,0.699999988079071,0.5
180,/sports/sports_position/players./american_football/football_historical_roster_position/position_s,head,M-N,102,4.634728988229636,0,0,0,,,
